# Pion Beam-Spin Asymmetry (KIN-1-FINAL)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
173  11  6  -28.80  -36.00  -21.60  27.50  25.00  30.00  558.750000  25.304400  624.000000  26.767500  -0.055168  0.031094 
174  12  6  -14.40  -21.60  -7.20  27.50  25.00  30.00  549.000000  25.352500  522.750000  24.531900  0.024493  0.032900 
175  13  6  0.00  -7.20  7.20  27.50  25.00  30.00  474.250000  23.562400  488.250000  23.831400  -0.014545  0.034817 
176  14  6  14.40  7.20  21.60  27.50  25.00  30.00  534.500000  25.201700  533.750000  25.155800  0.000702  0.033333 
177  15  6  28.80  21.60  36.00  27.50  25.00  30.00  554.750000  25.324100  581.750000  25.608800  -0.023757  0.031690 
178  16  6  43.20  36.00  50.40  27.50  25.00  30.00  436.750000  21.927400  434.000000  22.113300  0.003158  0.035765 
179  17  6  57.60  50.40  64.80  27.50  25.00  30.00  216.250000  15.237700  188.750000  14.328700  0.067901  0.051549 
180  18  6  72.00  64.80  79.20  27.50  25.00  30.00  67.750000  8.400150  61.500000  7.960840  0.048356  0.089413 
181  19  6  86.40  79.20  93.60  27.50  25.00  30.00  12.750000  3.614210  12.000000  3.640050  0.030303  0.207395 
182  20  6  100.80  93.60  108.00  27.50  25.00  30.00  2.000000  1.414210  2.000000  1.414210  0.000000  0.499999 
183  21  6  115.20  108.00  122.40  27.50  25.00  30.00  1.750000  1.436140  -0.250000  0.250000  1.333333  0.503077 
184  22  6  129.60  122.40  136.80  27.50  25.00  30.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
185  23  6  144.00  136.80  151.20  27.50  25.00  30.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
186  24  6  158.40  151.20  165.60  27.50  25.00  30.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
187  25  6  172.80  165.60  180.00  27.50  25.00  30.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
190  1  7  -172.80  -180.00  -165.60  32.50  30.00  35.00  -0.250000  0.250000  1.000000  1.000000  -1.666667  1.257079 
191  2  7  -158.40  -165.60  -151.20  32.50  30.00  35.00  -0.250000  0.250000  0.000000  0.000000  1.000000  0.000000 
192  3  7  -144.00  -151.20  -136.80  32.50  30.00  35.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
193  4  7  -129.60  -136.80  -122.40  32.50  30.00  35.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
194  5  7  -115.20  -122.40  -108.00  32.50  30.00  35.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
195  6  7  -100.80  -108.00  -93.60  32.50  30.00  35.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
196  7  7  -86.40  -93.60  -79.20  32.50  30.00  35.00  5.000000  2.236070  7.000000  2.645750  -0.166667  0.284638 
197  8  7  -72.00  -79.20  -64.80  32.50  30.00  35.00  25.500000  5.232110  36.000000  6.103280  -0.170732  0.129201 
198  9  7  -57.60  -64.80  -50.40  32.50  30.00  35.00  145.500000  12.594600  171.500000  13.679400  -0.082019  0.058458 
199  10  7  -43.20  -50.40  -36.00  32.50  30.00  35.00  286.250000  18.191700  280.250000  18.060700  0.010591  0.045250 
200  11  7  -28.80  -36.00  -21.60  32.50  30.00  35.00  333.000000  20.074900  362.250000  20.843200  -0.042071  0.041594 
201  12  7  -14.40  -21.60  -7.20  32.50  30.00  35.00  273.750000  18.447600  282.000000  18.560700  -0.014845  0.047089 
202  13  7  0.00  -7.20  7.20  32.50  30.00  35.00  229.500000  16.397400  211.750000  16.149700  0.040227  0.052169 
203  14  7  14.40  7.20  21.60  32.50  30.00  35.00  293.250000  18.886200  290.250000  18.972000  0.005141  0.045880 
204  15  7  28.80  21.60  36.00  32.50  30.00  35.00  375.750000  21.414100  381.500000  21.204400  -0.007593  0.039801 
205  16  7  43.20  36.00  50.40  32.50  30.00  35.00  278.750000  18.036400  270.000000  17.713000  0.015945  0.046060 
206  17  7  57.60  50.40  64.80  32.50  30.00  35.00  74.750000  9.086390  63.500000  8.463160  0.081374  0.089596 
207  18  7  72.00  64.80  79.20  32.50  30.00  35.00  11.000000  3.500000  3.250000  2.046340  0.543860  0.248402 
208  19  7  86.40  79.20  93.60  32.50  30.00  35.00  -0.500000  0.353553  1.000000  1.000000  -3.000000  4.898978 
209  20  7  100.80  93.60  108.00  32.50  30.00  35.00  -0.250000  0.250000  -0.250000  0.250000  -0.000000  0.707107 
210  21  7  115.20  108.00  122.40  32.50  30.00  35.00  0.000000  0.000000  1.750000  1.436140  -1.000000  0.000000 
211  22  7  129.60  122.40  136.80  32.50  30.00  35.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
212  23  7  144.00  136.80  151.20  32.50  30.00  35.00  1.000000  1.000000  0.750000  1.030780  0.142857  0.832495 
213  24  7  158.40  151.20  165.60  32.50  30.00  35.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
214  25  7  172.80  165.60  180.00  32.50  30.00  35.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
217  1  8  -172.80  -180.00  -165.60  37.50  35.00  40.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
218  2  8  -158.40  -165.60  -151.20  37.50  35.00  40.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
219  3  8  -144.00  -151.20  -136.80  37.50  35.00  40.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
